dataset,subset_fraction,accuracy,total_time_sec
covertype,0.02,0.7979260789122671,68.0693075619638
covertype,0.04,0.8093025257088765,72.50255325809121
covertype,0.06,0.8206617615421024,129.6168940514326
covertype,0.08,0.8302482681468095,214.83965723216534
covertype,0.1,0.8412632847123618,227.40091186761856
sensorless,0.02,0.922676008202324,7.054516591131687
sensorless,0.04,0.9383116883116883,11.107826501131058
sensorless,0.06,0.9452323991797676,13.846667528152466
sensorless,0.08,0.9530075187969925,16.376069344580173
sensorless,0.1,0.9581339712918661,18.80500688776374
pendigits,0.04,0.9413950829045169,1.4935160540044308
pendigits,0.08,0.9462550028587764,2.3687554262578487
pendigits,0.12,0.9539736992567182,3.81457207351923
pendigits,0.16,0.9579759862778731,4.499035000801086
pendigits,0.2,0.9634076615208691,5.074799541383982
magic,0.04,0.8341655716162943,1.7664746530354023
magic,0.08,0.8470433639947438,3.5803177319467068
magic,0.12,0.8530880420499343,2.840813186019659
magic,0.16,0.8538764783180026,7.622797809541225
magic,0.2,0.8609724047306176,11.574167903512716
miniboone,0.02,0.8879022027447815,11.999386604875326
miniboone,0.04,0.8902856264175605,14.065388083457947
miniboone,0.06,0.8946296082727867,17.096850261092186
miniboone,0.08,0.8943989543689693,19.42627738416195
miniboone,0.1,0.8967054934071426,22.868366971611977
