dataset,snapshot_L,accuracy,total_time_sec
covertype,2,0.8225549675143066,96.4640934318304
covertype,4,0.827201927627899,98.11362160742283
covertype,6,0.8254550148444559,96.75885446742177
covertype,8,0.8240006884385354,97.58703750371933
covertype,10,0.8240006884385354,96.75625626370311
sensorless,2,0.935663021189337,13.402003191411495
sensorless,4,0.9384825700615175,13.346184883266687
sensorless,6,0.9388243335611757,13.72429572045803
sensorless,8,0.9365174299384825,8.474988542497158
sensorless,10,0.9336978810663021,8.312813498079777
pendigits,2,0.9588336192109777,2.3068333007395267
pendigits,4,0.9671240708976558,1.6038315892219543
pendigits,6,0.9665523156089194,1.6522809192538261
pendigits,8,0.9665523156089194,1.6522392518818378
pendigits,10,0.9665523156089194,1.720388725399971
magic,2,0.8512483574244415,3.7660408094525337
magic,4,0.8538764783180026,2.7572779320180416
magic,6,0.8551905387647831,2.846600279211998
magic,8,0.8551905387647831,2.9277323856949806
magic,10,0.8551905387647831,2.8004362918436527
miniboone,2,0.8985122823203783,11.949026331305504
miniboone,4,0.8995502248875562,12.054144840687513
miniboone,6,0.8986660515895898,11.94895826652646
miniboone,8,0.8986660515895898,11.956001959741116
miniboone,10,0.8986660515895898,12.094004064798355
